"img","x_pos","y_pos"
"P003017",0.6874111,0.29438564
"P008142",0.23147961,0.30913538
"P007271",0.71340483,0.3553947
"P001600",0.6636112,0.4327308
"P002321",0.2247425,0.6553887
"P000536",0.44015533,0.04018463
"P007259",0.33501595,0.21922843
"P001628",0.35283574,0.5355096
"P006621",0.08583437,0.4436944
"P000250",0.82984394,0.52822113
"P003759",0.1494306,0.41150272
"P004036",0.2614171,0.23734783
"P003981",0.6185272,0.73084027
"P002447",0.19119723,0.28892162
"P002453",0.41441154,0.5326435
"P006635",0.3872366,0.3176376
"P000244",0.3223563,0.38522437
"P002335",0.15029316,0.4840619
"P004744",0.7157798,0.69233954
"P000245",0.6409466,0.39465684
"P006634",0.27155244,0.5374528
"P002452",0.41377208,0.52306426
"P002334",0.47285706,0.32006308
"P006152",0.6083875,0.795483
"P000523",0.33753452,0.5293875
"P001629",0.28876948,0.47458544
"P006146",0.1851196,0.34083563
"P007258",0.24902868,0.47300223
"P004751",0.61385673,0.21616933
"P002320",0.48182225,0.66628796
"P002446",0.21040003,0.19708104
"P003980",0.5672876,0.4984429
"P004037",0.58576286,0.74066603
"P000251",0.54541504,0.48238572
"P006620",0.3759908,0.81690663
"P005301",0.73541486,0.50934833
"P003770",0.469548,0.42146298
"P000279",0.27688602,0.21509641
"P007516",0.66942465,0.70858806
"P006608",0.48163122,0.34068474
"P001167",0.5893645,0.29099736
"P001601",0.67749274,0.41594523
"P007270",0.73011184,0.36026108
"P008143",0.4015122,0.80480766
"P004779",0.73836076,0.71968335
"P005467",0.667126,0.4249206
"P002308",0.6073903,0.71282196
"P003002",0.5969099,0.2921761
"P005473",0.119478464,0.49854502
"P001615",0.57309395,0.6705705
"P007264",0.71969426,0.36253074
"P008157",0.6723662,0.49373487
"P001173",0.5389503,0.43163222
"P005315",0.21870871,0.6392056
"P002491",0.31638634,0.5182546
"P001198",0.3265082,0.2637328
"P001826",0.46097955,0.5060514
"P005498",0.6421918,0.5236232
"P001832",0.46647894,0.5458664
"P000292",0.11375603,0.5333421
"P002485",0.514191,0.18929872
"P003943",0.67598236,0.40725178
"P006813",0.20112985,0.21560751
"P008180",0.16582298,0.4065935
"P008194",0.42265293,0.84573084
"P006807",0.3325937,0.71832746
"P000721",0.108143985,0.42468134
"P006350",0.17488731,0.31241062
"P002136",0.30314794,0.3348935
"P005659",0.6777937,0.7203108
"P004547",0.02759564,0.47150487
"P005881",0.45214006,0.20240815
"P002888",0.7942885,0.52366334
"P004221",0.3972204,0.32214254
"P002650",0.38912353,0.3289721
"P001359",0.6261852,0.7068554
"P006436",0.18841594,0.66519666
"P007728",0.7852883,0.36847627
"P000047",0.48276177,0.46587142
"P006422",0.5834965,0.45200232
"P000053",0.39785692,0.51040703
"P004235",0.5169494,0.37190256
"P002644",0.17880817,0.21378109
"P002122",0.47535923,0.42779675
"P004553",0.3724183,0.7139248
"P005895",0.2781386,0.75807273
"P000735",0.38994417,0.20894739
"P005665",0.44888633,0.8078154
"P003214",0.6090995,0.3780733
"P001403",0.6300153,0.3516038
"P001365",0.24047962,0.59805393
"P007714",0.3924749,0.36682773
"P003566",0.37243482,0.67810607
"P004209",0.45839307,0.56797504
"P005117",0.33560023,0.67869765
"P002678",0.6864546,0.29422167
"P001371",0.41386178,0.79340065
"P007700",0.4265828,0.69701964
"P000709",0.5730115,0.5985643
"P007066",0.47219443,0.04150248
"P006378",0.62496996,0.7328868
"P001417",0.8048169,0.55247205
"P005671",0.6939058,0.7976342
"P004584",0.5490673,0.6677422
"P005842",0.2361097,0.20898822
"P006393",0.43550763,0.3392143
"P007933",0.7848767,0.47064552
"P002693",0.1506231,0.18790698
"P002687",0.52913755,0.32291114
"P000090",0.58060086,0.5945638
"P007927",0.39625654,0.48111147
"P006387",0.5523935,0.48520312
"P007099",0.6305835,0.22708386
"P005856",0.62331706,0.7840332
"P000906",0.81327033,0.46101877
"P002877",0.31310707,0.450316
"P002863",0.44639114,0.017024612
"P000912",0.794343,0.4618324
"P006224",0.56512755,0.44661477
"P008209",0.59023535,0.5681006
"P000655",0.16759056,0.58588356
"P004433",0.43506822,0.6067419
"P002042",0.69967085,0.54118115
"P002724",0.47465628,0.482287
"P004355",0.5071379,0.37068895
"P000133",0.40442282,0.37160593
"P006542",0.31498125,0.69263655
"P007884",0.6794576,0.39939025
"P000127",0.28900114,0.38550392
"P007648",0.44268313,0.69524384
"P006556",0.21813825,0.17167367
"P007890",0.6794989,0.73613364
"P001239",0.4180972,0.31116837
"P004341",0.41054472,0.76996845
"P003348",0.364693,0.31169313
"P004427",0.3336014,0.34910133
"P005739",0.605504,0.23731057
"P002056",0.63432366,0.27100742
"P006230",0.832008,0.48971117
"P000641",0.55156285,0.6961302
"P005711",0.2589964,0.41935197
"P001577",0.46610385,0.6177263
"P006218",0.20664145,0.34707603
"P008235",0.08955293,0.43050918
"P000669",0.45799854,0.052945904
"P007660",0.4859085,0.31548998
"P001211",0.6847667,0.4481048
"P005077",0.243091,0.41372168
"P004369",0.5823474,0.74894327
"P003406",0.21065728,0.21413785
"P003412",0.081950344,0.24926078
"P007674",0.5432207,0.48453897
"P001205",0.06452089,0.39623824
"P001563",0.45915702,0.60071164
"P008221",0.2471953,0.43946293
"P007112",0.37732735,0.5469384
"P003374",0.48691988,0.713769
"P005705",0.46778193,0.7512629
"P002081",0.5842957,0.5084537
"P005936",0.34129825,0.2130334
"P000696",0.2563954,0.43238702
"P001588",0.55928105,0.6584708
"P006581",0.12870182,0.32630998
"P007847",0.30218446,0.7363312
"P004396",0.6284053,0.56493634
"P005088",0.554514,0.39606842
"P004382",0.61142,0.76366156
"P007853",0.24427605,0.44024882
"P000682",0.17232035,0.621946
"P002095",0.56884664,0.52560353
"P000872",0.33824718,0.5171336
"P002903",0.59061784,0.29187867
"P002917",0.31798798,0.7452855
"P000866",0.4392432,0.028074682
"P006740",0.4681082,0.6026349
"P000331",0.54378724,0.59170264
"P006998",0.28685498,0.39080244
"P005249",0.4093175,0.47331327
"P002526",0.391743,0.36573344
"P002240",0.15365571,0.382896
"P000457",0.6264409,0.6693382
"P001991",0.8158283,0.5219095
"P007338",0.58500206,0.5330984
"P006026",0.574868,0.46175915
"P001749",0.3874581,0.5743689
"P000443",0.25500458,0.24408713
"P006032",0.4131218,0.743487
"P002254",0.69873327,0.6513524
"P004625",0.5702961,0.3966817
"P004143",0.36517993,0.5891921
"P002532",0.49126533,0.29040074
"P006754",0.66502434,0.5472107
"P000325",0.09070119,0.52213067
"P005275",0.44382885,0.44209582
"P007462",0.38960275,0.84293085
"P008037",0.6726276,0.38970315
"P001775",0.7535867,0.49358323
"P005513",0.061641242,0.51579493
"P003162",0.0993914,0.44108352
"P002268",0.43854952,0.49137193
"P004619",0.6559662,0.38779485
"P003176",0.27625728,0.6771621
"P008023",0.61151725,0.35017988
"P001761",0.49488914,0.65693665
"P001007",0.2586372,0.5939707
"P006768",0.39483342,0.78192896
"P007476",0.7138864,0.59827334
"P000319",0.1924891,0.60581565
"P005261",0.48340937,0.45290026
"P003823",0.3630164,0.5433464
"P004194",0.4440402,0.02477687
"P006783",0.5419069,0.4881856
"P000494",0.51216894,0.47438893
"P001952",0.5764574,0.32450083
"P002283",0.60761523,0.39689055
"P003189",0.32516354,0.36102325
"P002297",0.11908418,0.47230312
"P000480",0.31054926,0.3673778
"P001946",0.32256603,0.21426995
"P006797",0.2836121,0.69968873
"P004180",0.7024809,0.6713653
"P004816",0.6453087,0.7585397
"P006973",0.6277209,0.69225925
"P006965",0.5868365,0.69080013
"P006971",0.54641426,0.39895353
"P004800",0.34360668,0.4579172
"P001978",0.1641102,0.2804163
"P004828",0.5227222,0.7266792
"P002281",0.23383199,0.31431842
"P001950",0.37244615,0.21061186
"P001788",0.50667024,0.5831844
"P006781",0.345094,0.47852242
"P004196",0.46326366,0.04470202
"P003821",0.62673265,0.6097462
"P006795",0.34956008,0.6716988
"P001944",0.71278244,0.2751873
"P000482",0.24400401,0.4821442
"P006018",0.42560995,0.78786033
"P007306",0.3998253,0.24648549
"P008035",0.67044395,0.6386152
"P000469",0.10379014,0.551151
"P007460",0.07715665,0.42146894
"P002518",0.15583596,0.20176195
"P005277",0.21398427,0.57951915
"P004169",0.42943305,0.15860401
"P005263",0.48757634,0.54079837
"P003612",0.60782856,0.19800904
"P007474",0.20810834,0.25750288
"P001005",0.60513574,0.65443724
"P001763",0.2475989,0.71590996
"P008021",0.4994598,0.27710575
"P003174",0.11428694,0.5267735
"P005505",0.24590234,0.5880772
"P006024",0.63755405,0.73972887
"P008009",0.51252043,0.30422547
"P001993",0.818993,0.53102976
"P004633",0.5813644,0.5381037
"P002242",0.58927864,0.6234592
"P002524",0.5415983,0.5909896
"P004155",0.3460844,0.4368572
"P000333",0.2794516,0.501785
"P006742",0.3301969,0.57785475
"P000327",0.20981047,0.19005494
"P007448",0.5968479,0.7203491
"P006756",0.56827694,0.61460817
"P001039",0.36706176,0.44836468
"P002530",0.19366655,0.24901307
"P004141",0.1464014,0.5059985
"P003148",0.2658097,0.21242677
"P004627",0.42913002,0.3554258
"P005539",0.33944976,0.827213
"P002256",0.6159394,0.6745415
"P006030",0.41936147,0.29110035
"P001987",0.48035368,0.7389805
"P000441",0.34030718,0.32131612
"P002901",0.19710623,0.33060762
"P005908",0.55516565,0.37747052
"P000870",0.30590078,0.20401412
"P000864",0.27959892,0.22764948
"P002915",0.32340392,0.42372623
"P004394",0.6160951,0.6061289
"P007845",0.13903902,0.4347758
"P000694",0.34285977,0.6782131
"P005934",0.5724688,0.4449444
"P002083",0.62708974,0.6721413
"P003389",0.5765774,0.62033075
"P005920",0.33284962,0.18848689
"P002097",0.215607,0.30776817
"P000858",0.29529175,0.63778526
"P000680",0.21996836,0.37051892
"P007689",0.62111396,0.28028113
"P006597",0.692131,0.7222549
"P002929",0.32620007,0.26652125
"P004380",0.59126645,0.7771186
"P003404",0.2589216,0.16122375
"P005075",0.3684008,0.25736183
"P001213",0.56948453,0.5707312
"P007662",0.21811047,0.19062124
"P008237",0.28936502,0.6196057
"P007104",0.16474368,0.36941254
"P001575",0.3968237,0.59889394
"P005713",0.24350776,0.29919523
"P003362",0.2078905,0.24961823
"P002068",0.66030055,0.7880676
"P005707",0.69375926,0.77084976
"P004419",0.6103506,0.6040706
"P008223",0.2811528,0.43241006
"P007110",0.27218327,0.5083151
"P001561",0.21135016,0.22691959
"P001207",0.39899945,0.34989533
"P007676",0.38302076,0.82190007
"P000119",0.19607346,0.6245324
"P003410",0.11490555,0.3741737
"P007886",0.22262554,0.22784469
"P006540",0.6473873,0.79781926
"P000131",0.24375027,0.5433163
"P005049",0.46555242,0.7804333
"P002726",0.6756338,0.41189164
"P002040",0.40393046,0.5120297
"P004431",0.60038877,0.5882571
"P000657",0.47530478,0.5082968
"P006226",0.5076775,0.5971019
"P001549",0.34504053,0.24965236
"P000643",0.27108756,0.3123151
"P002054",0.29304054,0.5717394
"P004343",0.6694095,0.6567389
"P002732",0.067351565,0.5143539
"P007892",0.70571154,0.7697218
